problem,model_type,seed,sample_count,x1,x2,x3,f_real,g_real,feasible_real
QuickSimu1,rbf,2026,1000,1.2435573452128605,0.010010901780617858,0.010000000059479193,0.00136513645,0.1252707986757124,False
QuickSimu1,rbf,2027,1000,0.4,0.01,0.01,0.001405,0.1918458280602029,False
QuickSimu1,rbf,2028,1000,0.9637813756888122,0.01,0.01,0.00137681093,0.15325751188049425,False
QuickSimu1,polynomial,2026,1000,1.6,0.01,0.08,0.003809,0.08852864243313893,False
QuickSimu1,polynomial,2027,1000,1.6,0.01,0.08,0.003809,0.08852864243313893,False
QuickSimu1,polynomial,2028,1000,1.6,0.01,0.08,0.003809,0.08852864243313893,False
QuickSimu1,kan,2026,1000,0.42356394898096444,0.01,0.01000000356374982,0.00140382213,0.1186534554022791,False
QuickSimu1,kan,2027,1000,0.4,0.010000011484450209,0.010000000000366152,0.00140500215,0.131329030940248,False
QuickSimu1,kan,2028,1000,1.5367087391569552,0.01,0.01,0.00134816456,0.18706201110928972,False
QuickSimu1,kan_gp,2026,1000,1.5235436729085932,0.01,0.01,0.00134882282,0.1820840288104656,False
QuickSimu1,kan_gp,2027,1000,1.3011168317915156,0.01,0.01,0.00135994416,0.1716131623885967,False
QuickSimu1,kan_gp,2028,1000,0.40000090683441236,0.01,0.01,0.00140499995,0.19183457049186853,False
QuickSimu1,kriging,2026,1100,1.2513255150402,0.01,0.01,0.00136243372,0.1677024406785418,False
QuickSimu1,kriging,2027,1100,0.4,0.01,0.01,0.001405,0.1918458280602029,False
QuickSimu1,kriging,2028,1100,0.59685592049326,0.01,0.01,0.0013951572,0.159160071956351,False
QuickSimu1,rbf,2026,1100,0.5694627300559582,0.01,0.01,0.00139652686,0.16230682065417046,False
QuickSimu1,rbf,2027,1100,0.4,0.01,0.01,0.001405,0.1918458280602029,False
QuickSimu1,rbf,2028,1100,0.4,0.01,0.01,0.001405,0.1918458280602029,False
QuickSimu1,polynomial,2026,1100,1.6,0.01,0.08,0.003809,0.08852864243313893,False
QuickSimu1,polynomial,2027,1100,1.6,0.01,0.08,0.003809,0.08852864243313893,False
QuickSimu1,polynomial,2028,1100,1.6,0.01,0.08,0.003809,0.08852864243313893,False
QuickSimu1,kan,2026,1100,0.4000002583832902,0.01,0.01,0.00140499999,0.18832634282629096,False
QuickSimu1,kan,2027,1100,0.40000008446753,0.010000000003571525,0.01,0.001405,0.19922458770229895,False
QuickSimu1,kan,2028,1100,0.4,0.01,0.01,0.001405,0.1918458280602029,False
QuickSimu1,kan_gp,2026,1100,1.1230398960632353,0.01,0.01,0.00136884801,0.1624311314331836,False
QuickSimu1,kan_gp,2027,1100,0.5259159496773127,0.01,0.01,0.0013987042,0.1685932866729441,False
QuickSimu1,kan_gp,2028,1100,1.0295978922052724,0.01,0.01,0.00137352011,0.1622349761629442,False
QuickSimu1,kriging,2026,1200,0.925796188689268,0.01,0.01,0.00137871019,0.15053211554434243,False
QuickSimu1,kriging,2027,1200,0.4,0.01,0.01,0.001405,0.1918458280602029,False
QuickSimu1,kriging,2028,1200,0.9121490777348538,0.01,0.01,0.00137939255,0.15072538207250114,False
QuickSimu1,rbf,2026,1200,0.9278668376684605,0.01,0.01,0.00137860666,0.15057309508972322,False
QuickSimu1,rbf,2027,1200,0.4,0.01,0.01,0.001405,0.1918458280602029,False
QuickSimu1,rbf,2028,1200,0.5988627244989136,0.01,0.01,0.00139505686,0.15862626132672603,False
QuickSimu1,polynomial,2026,1200,1.6,0.01,0.08,0.003809,0.08852864243313893,False
QuickSimu1,polynomial,2027,1200,1.6,0.01,0.08,0.003809,0.08852864243313893,False
QuickSimu1,polynomial,2028,1200,1.6,0.01,0.08,0.003809,0.08852864243313893,False
QuickSimu1,kan,2026,1200,0.4,0.01,0.01,0.001405,0.1918458280602029,False
QuickSimu1,kan,2027,1200,1.5704801160222823,0.01,0.01,0.00134647599,0.18520790414018473,False
QuickSimu1,kan,2028,1200,0.4,0.01,0.01,0.001405,0.1918458280602029,False
QuickSimu1,kan_gp,2026,1200,1.0615416883985518,0.01,0.01,0.00137192292,0.16447152088017203,False
QuickSimu1,kan_gp,2027,1200,1.2263215550929132,0.01,0.01,0.00136368392,0.17019465292049224,False
QuickSimu1,kan_gp,2028,1200,1.0766318620580482,0.01,0.01,0.00137116841,0.16377273415460553,False
QuickSimu1,kriging,2026,1300,0.8418832790457653,0.01,0.01,0.00138290584,0.14861850082701872,False
QuickSimu1,kriging,2027,1300,1.3425177778181119,0.01,0.01,0.00135787411,0.17246634437650582,False
